DATETIME,FUND,INSTRUMENT_TYPE,SECURITY_NAME,IDENTIFIER,IDENTIFIER_TYPE,PRICE_FUND,PRICE_REF,DIFF_PRICE_REF
2022-10-31,Gohen,Government Bond,CANADIAN GOVERNMENT RRB 4.3% 12/01/2026,CA135087VS05,ISIN,206.46,227.106,-20.645999999999987
2022-10-31,Gohen,Government Bond,UNITED KINGDOM I/L GILT 0.125% 11/22/2065 REGS,GB00BD9MZZ71,ISIN,326.34,358.974,-32.634000000000015
2022-10-31,Gohen,Government Bond,FRANCE (GOVT OF) 0.1% 03/01/2026 0.0% 144A,FR0013519253,ISIN,113.99,125.389,-11.399000000000001
2022-10-31,Gohen,Government Bond,NETHERLANDS GOVERNMENT 3.75 % 01/15/2042 144A ,NL0009446418,ISIN,170.85,187.935,-17.085000000000008
2022-10-31,Gohen,Government Bond,CANADIAN GOVERNMENT 0.5% 09/01/2025,CA135087K940,ISIN,97.66,107.426,-9.766000000000005
2022-10-31,Gohen,Government Bond,AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,AU0000XCLWV6,ISIN,161.37,177.507,-16.137
2022-10-31,Gohen,Government Bond,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,DK0009923807,ISIN,104.56,115.016,-10.456000000000003
2022-10-31,Gohen,Government Bond,TSY INFL IX N/B 2.125% 02/15/2040,US912810QF84,ISIN,195.71,215.281,-19.570999999999998
2022-10-31,Gohen,Government Bond,BELGIUM KINGDOM 3.75% 6/22/2045 REGS,BE0000331406,ISIN,163.94,180.334,-16.394000000000005
2022-10-31,Gohen,Government Bond,JAPAN (40 YEAR ISSUE) 0.5 % 03/20/2060 ,JP1400131L54,ISIN,92.64,101.904,-9.263999999999996
2022-10-31,Magnum,Government Bond,NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,NL0011819040,ISIN,104.59,115.049,-10.459000000000003
2022-10-31,Magnum,Government Bond,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,IT0003745541,ISIN,179.28,197.208,-17.927999999999997
2022-10-31,Magnum,Government Bond,UNITED KINGDOM I/L GILT 0.25% 03/22/2052 REGS,GB00B73ZYW09,ISIN,271.95,299.145,-27.194999999999993
2022-10-31,Magnum,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2044 REGS,GB00B7RN0G65,ISIN,224.96,247.456,-22.49599999999998
2022-10-31,Magnum,Government Bond,TSY INFL IX N/B 0.625% 01/15/2024,US912828B253,ISIN,126.37,139.007,-12.637
2022-10-31,Magnum,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,GB00BNNGP882,ISIN,213.42,234.762,-21.342000000000013
2022-10-31,Magnum,Government Bond,TSY INFL IX N/B 0.5% 01/15/2028 ,US9128283R96,ISIN,125.57,138.127,-12.557000000000016
2022-10-31,Magnum,Government Bond,TSY INFL IX N/B 0.75% 02/15/2042,US912810QV35,ISIN,154.42,169.862,-15.442000000000007
2022-10-31,Magnum,Government Bond,UNITED KINGDOM GILT 0.625% 10/22/2050 REGS,GB00BMBL1F74,ISIN,88.21,97.031,-8.821000000000012
2022-10-31,Magnum,Government Bond,TSY INFL IX N/B 0.125% 07/15/2024 ,US912828WU04,ISIN,124.36,136.796,-12.435999999999993
2022-10-31,Magnum,Government Bond,SPAIN I/L BOND 0.7 % 11/30/2033 144A ,ES0000012C12,ISIN,130.46,143.506,-13.045999999999992
2022-10-31,Magnum,Government Bond,UNITED KINGDOM I/L GILT 0.375% 03/22/2062 REGS,GB00B4PTCY75,ISIN,350.37,385.407,-35.03699999999998
2022-10-31,Magnum,Government Bond,UNITED KINGDOM GILT 4% 01/22/2060 REGS,GB00B54QLM75,ISIN,194.9,214.39,-19.48999999999998
2022-10-31,Magnum,Government Bond,BUONI POLIENNALI DEL TES 2.6% 09/15/2023 144A,IT0004243512,ISIN,135.04,148.544,-13.504000000000019
2022-10-31,Magnum,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2039 REGS,GB00BLH38265,ISIN,166.81,183.491,-16.68100000000001
2022-10-31,Magnum,Government Bond,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,DE0001030567,ISIN,121.6,133.76,-12.159999999999997
2022-10-31,Magnum,Government Bond,TSY INFL IX N/B 1% 02/15/2049,US912810SG40,ISIN,155.75,171.325,-15.574999999999989
2022-10-31,Magnum,Government Bond,TSY INFL IX N/B 0.125% 04/15/2026 ,US91282CCA71,ISIN,113.89,125.279,-11.388999999999996
2022-10-31,Magnum,Government Bond,JAPAN (20 YEAR ISSUE) 1.7 % 09/20/2032 ,JP1201401C92,ISIN,116.72,128.392,-11.671999999999997
2022-10-31,Virtous,Government Bond,TSY INFL IX N/B 0.125% 07/15/2024 ,US912828WU04,ISIN,124.36,136.796,-12.435999999999993
2022-10-31,Virtous,Government Bond,BONOS Y OBLIG DEL ESTADO 5.75% 07/30/2032,ES0000012411,ISIN,153.58,168.938,-15.357999999999976
2022-10-31,Virtous,Government Bond,BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,IT0005024234,ISIN,120.61,132.671,-12.060999999999993
2022-10-31,Virtous,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2029 REGS,GB00B3Y1JG82,ISIN,164.94,181.434,-16.494
2022-10-31,Virtous,Government Bond,UNITED KINGDOM I/L GILT 0.125% 08/10/2041 REGS,GB00BGDYHF49,ISIN,187.46,206.206,-18.74599999999998
2022-10-31,Virtous,Government Bond,FRANCE (GOVT OF) 0.1% 07/25/2036 0.0% 144A,FR0013327491,ISIN,132.18,145.398,-13.21799999999999
2022-10-31,Virtous,Government Bond,BONOS Y OBLIG DEL ESTADO 2.2% 10/31/2025 144A,ES00000127G9,ISIN,109.33,120.263,-10.933000000000007
2022-10-31,Virtous,Government Bond,CANADIAN GOVERNMENT RRB 1.3% 12/01/2047,CA135087B949,ISIN,158.52,174.372,-15.852000000000004
2022-10-31,Virtous,Government Bond,TSY INFL IX N/B 0.625% 01/15/2024,US912828B253,ISIN,126.37,139.007,-12.637
2022-10-31,Virtous,Government Bond,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,DE0001030559,ISIN,136.08,149.688,-13.607999999999976
2022-10-31,Virtous,Government Bond,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,DE0001030567,ISIN,121.6,133.76,-12.159999999999997
2022-10-31,Virtous,Government Bond,BUONI POLIENNALI DEL TES 2.6% 09/15/2041 144A,IT0004545890,ISIN,184.85,203.335,-18.485000000000014
2022-10-31,Virtous,Government Bond,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,AT0000A1K9C8,ISIN,105.26,115.786,-10.525999999999996
2022-10-31,Virtous,Government Bond,TSY INFL IX N/B 1.75% 01/15/2028,US912810PV44,ISIN,158.54,174.394,-15.854000000000013
2022-10-31,Virtous,Government Bond,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,GB00BN65R313,ISIN,146.73,161.403,-14.673000000000002
2022-10-31,Virtous,Government Bond,CANADIAN GOVERNMENT 0.5% 09/01/2025,CA135087K940,ISIN,97.66,107.426,-9.766000000000005
2022-10-31,Virtous,Government Bond,TSY INFL IX N/B 0.125% 01/15/2030 ,US912828Z377,ISIN,119.4,131.34,-11.939999999999998
2022-10-31,Virtous,Government Bond,CHINA GOVERNMENT BOND 3.0% 05/27/2031,CND100047QT4,ISIN,101.69,111.859,-10.168999999999997
2022-10-31,Whitestone,Government Bond,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,DE0001030567,ISIN,121.6,133.76,-12.159999999999997
2022-10-31,Whitestone,Government Bond,BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,IT0004735152,ISIN,140.66,154.726,-14.066000000000003
2022-10-31,Whitestone,Government Bond,FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,FR0000188799,ISIN,209.19,230.109,-20.91900000000001
2022-10-31,Whitestone,Government Bond,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,DK0009923807,ISIN,104.56,115.016,-10.456000000000003
2022-10-31,Whitestone,Government Bond,TSY INFL IX N/B 2% 01/15/2026,US912810FS25,ISIN,161.49,177.639,-16.149
2022-10-31,Whitestone,Government Bond,TSY INFL IX N/B 3.375% 04/15/2032,US912810FQ68,ISIN,231.76,254.936,-23.176000000000016
2022-10-31,Whitestone,Government Bond,UNITED KINGDOM I/L GILT 0.625% 11/22/2042 REGS,GB00B3MYD345,ISIN,273.07,300.377,-27.307000000000016
2022-10-31,Whitestone,Government Bond,MEX BONOS DESARR FIX RT 8.5 % 05/31/2029 ,MX0MG00000H9,ISIN,105.8,116.38,-10.579999999999998
2022-10-31,Whitestone,Government Bond,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,IT0003745541,ISIN,179.28,197.208,-17.927999999999997
2022-10-31,Whitestone,Government Bond,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2029 ,JP1103571L10,ISIN,100.99,111.089,-10.099000000000004
2022-10-31,Whitestone,Government Bond,UNITED KINGDOM GILT 0.125% 01/30/2026 REGS,GB00BL68HJ26,ISIN,97.25,106.975,-9.724999999999994
2022-10-31,Whitestone,Government Bond,CANADIAN GOVERNMENT RRB 2.0% 12/01/2041,CA135087YK42,ISIN,186.62,205.282,-18.662000000000006
2022-10-31,Whitestone,Government Bond,BONOS Y OBLIG DEL ESTADO 3.5% 07/30/2066 144A,ES00000128E2,ISIN,150.26,165.286,-15.02600000000001
2022-10-31,Whitestone,Government Bond,CHINA GOVERNMENT BOND 3.0% 03/11/2026,CND100045210,ISIN,101.88,112.068,-10.188000000000002
2022-10-31,Whitestone,Government Bond,CANADIAN GOVERNMENT RRB 4.3% 12/01/2026,CA135087VS05,ISIN,206.46,227.106,-20.645999999999987
2022-10-31,Whitestone,Government Bond,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,DE0001030559,ISIN,136.08,149.688,-13.607999999999976
2022-10-31,Whitestone,Government Bond,BELGIUM KINGDOM 5% 3/28/2035 144A,BE0000304130,ISIN,160.27,176.297,-16.026999999999987
2022-10-31,Whitestone,Government Bond,TSY INFL IX N/B 0.25% 02/15/2050 ,US912810SM18,ISIN,130.04,143.044,-13.004000000000019
2022-10-31,Whitestone,Government Bond,CANADIAN GOVERNMENT RRB 4.0% 12/01/2031,CA135087WV25,ISIN,230.3,253.33,-23.03
2022-10-31,Whitestone,Government Bond,BONOS Y OBLIG DEL ESTADO 1.4% 04/30/2028 144A,ES0000012B39,ISIN,108.18,118.998,-10.817999999999998
2022-10-31,APPLEBEAD,Government Bond,NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,BZ571P2,CUSIP,104.59,115.049,-10.459000000000003
2022-10-31,APPLEBEAD,Government Bond,SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,CUSIP,122.73,135.003,-12.272999999999982
2022-10-31,APPLEBEAD,Government Bond,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,CUSIP,124.62,137.082,-12.461999999999989
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 3.375% 04/15/2032,2805872,CUSIP,231.76,254.936,-23.176000000000016
2022-10-31,APPLEBEAD,Government Bond,UNITED KINGDOM I/L GILT 0.5% 03/22/2050 REGS,B421JZ6,CUSIP,312.23,343.453,-31.222999999999956
2022-10-31,APPLEBEAD,Government Bond,AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,B3SSHY9,CUSIP,161.37,177.507,-16.137
2022-10-31,APPLEBEAD,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,BNNGP88,CUSIP,213.42,234.762,-21.342000000000013
2022-10-31,APPLEBEAD,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2046 REGS,BYMWG36,CUSIP,219.95,241.945,-21.995000000000005
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 3.875% 04/15/2029,2407096,CUSIP,234.45,257.895,-23.444999999999993
2022-10-31,APPLEBEAD,Government Bond,BELGIUM KINGDOM 3.75% 6/22/2045 REGS,BDT2DG4,CUSIP,163.94,180.334,-16.394000000000005
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 0.125% 07/15/2030 ,BLCGQJ3,CUSIP,120.67,132.737,-12.066999999999993
2022-10-31,APPLEBEAD,Government Bond,FRANCE (GOVT OF) 0.1% 07/25/2031 0.0% 144A,BN4Q1D4,CUSIP,122.53,134.783,-12.252999999999986
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 0.875% 02/15/2047,BF0SHC9,CUSIP,154.55,170.005,-15.454999999999984
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 0.125% 10/15/2026 ,BMHXXY0,CUSIP,110.2,121.22,-11.019999999999996
2022-10-31,APPLEBEAD,Government Bond,JAPAN (30 YEAR ISSUE) 0.5 % 09/20/2046 ,BD8CPW5,CUSIP,98.11,107.921,-9.811000000000007
2022-10-31,APPLEBEAD,Government Bond,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,B03KSM4,CUSIP,179.28,197.208,-17.927999999999997
2022-10-31,APPLEBEAD,Government Bond,AUSTRALIAN GOVERNMENT 4.8% 04/21/2027 REGS,B75M0X2,CUSIP,117.38,129.118,-11.738
2022-10-31,APPLEBEAD,Government Bond,SPAIN I/L BOND 1 % 11/30/2030 144A ,BWH62M0,CUSIP,132.36,145.596,-13.23599999999999
2022-10-31,APPLEBEAD,Government Bond,AUSTRALIAN GOVERNMENT 3% 09/20/2025 REGS,B4RNSX8,CUSIP,149.51,164.461,-14.951000000000022
2022-10-31,APPLEBEAD,Government Bond,BONOS Y OBLIG DEL ESTADO 2.2% 10/31/2025 144A,BYYTKZ5,CUSIP,109.33,120.263,-10.933000000000007
2022-10-31,APPLEBEAD,Government Bond,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2026 ,BYYNK79,CUSIP,100.85,110.935,-10.085000000000008
2022-10-31,APPLEBEAD,Government Bond,NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,BZ571P2,CUSIP,104.59,115.049,-10.459000000000003
2022-10-31,APPLEBEAD,Government Bond,SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,CUSIP,122.73,135.003,-12.272999999999982
2022-10-31,APPLEBEAD,Government Bond,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,CUSIP,124.62,137.082,-12.461999999999989
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 3.375% 04/15/2032,2805872,CUSIP,231.76,254.936,-23.176000000000016
2022-10-31,APPLEBEAD,Government Bond,UNITED KINGDOM I/L GILT 0.5% 03/22/2050 REGS,B421JZ6,CUSIP,312.23,343.453,-31.222999999999956
2022-10-31,APPLEBEAD,Government Bond,AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,B3SSHY9,CUSIP,161.37,177.507,-16.137
2022-10-31,APPLEBEAD,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,BNNGP88,CUSIP,213.42,234.762,-21.342000000000013
2022-10-31,APPLEBEAD,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2046 REGS,BYMWG36,CUSIP,219.95,241.945,-21.995000000000005
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 3.875% 04/15/2029,2407096,CUSIP,234.45,257.895,-23.444999999999993
2022-10-31,APPLEBEAD,Government Bond,BELGIUM KINGDOM 3.75% 6/22/2045 REGS,BDT2DG4,CUSIP,163.94,180.334,-16.394000000000005
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 0.125% 07/15/2030 ,BLCGQJ3,CUSIP,120.67,132.737,-12.066999999999993
2022-10-31,APPLEBEAD,Government Bond,FRANCE (GOVT OF) 0.1% 07/25/2031 0.0% 144A,BN4Q1D4,CUSIP,122.53,134.783,-12.252999999999986
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 0.875% 02/15/2047,BF0SHC9,CUSIP,154.55,170.005,-15.454999999999984
2022-10-31,APPLEBEAD,Government Bond,TSY INFL IX N/B 0.125% 10/15/2026 ,BMHXXY0,CUSIP,110.2,121.22,-11.019999999999996
2022-10-31,APPLEBEAD,Government Bond,JAPAN (30 YEAR ISSUE) 0.5 % 09/20/2046 ,BD8CPW5,CUSIP,98.11,107.921,-9.811000000000007
2022-10-31,APPLEBEAD,Government Bond,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,B03KSM4,CUSIP,179.28,197.208,-17.927999999999997
2022-10-31,APPLEBEAD,Government Bond,AUSTRALIAN GOVERNMENT 4.8% 04/21/2027 REGS,B75M0X2,CUSIP,117.38,129.118,-11.738
2022-10-31,APPLEBEAD,Government Bond,SPAIN I/L BOND 1 % 11/30/2030 144A ,BWH62M0,CUSIP,132.36,145.596,-13.23599999999999
2022-10-31,APPLEBEAD,Government Bond,AUSTRALIAN GOVERNMENT 3% 09/20/2025 REGS,B4RNSX8,CUSIP,149.51,164.461,-14.951000000000022
2022-10-31,APPLEBEAD,Government Bond,BONOS Y OBLIG DEL ESTADO 2.2% 10/31/2025 144A,BYYTKZ5,CUSIP,109.33,120.263,-10.933000000000007
2022-10-31,APPLEBEAD,Government Bond,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2026 ,BYYNK79,CUSIP,100.85,110.935,-10.085000000000008
2022-10-31,Applebead,Government Bond,NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,BZ571P2,CUSIP,104.59,115.049,-10.459000000000003
2022-10-31,Applebead,Government Bond,SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,CUSIP,122.73,135.003,-12.272999999999982
2022-10-31,Applebead,Government Bond,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,CUSIP,124.62,137.082,-12.461999999999989
2022-10-31,Applebead,Government Bond,TSY INFL IX N/B 3.375% 04/15/2032,2805872,CUSIP,231.76,254.936,-23.176000000000016
2022-10-31,Applebead,Government Bond,UNITED KINGDOM I/L GILT 0.5% 03/22/2050 REGS,B421JZ6,CUSIP,312.23,343.453,-31.222999999999956
2022-10-31,Applebead,Government Bond,AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,B3SSHY9,CUSIP,161.37,177.507,-16.137
2022-10-31,Applebead,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,BNNGP88,CUSIP,213.42,234.762,-21.342000000000013
2022-10-31,Applebead,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2046 REGS,BYMWG36,CUSIP,219.95,241.945,-21.995000000000005
2022-10-31,Applebead,Government Bond,TSY INFL IX N/B 3.875% 04/15/2029,2407096,CUSIP,234.45,257.895,-23.444999999999993
2022-10-31,Applebead,Government Bond,BELGIUM KINGDOM 3.75% 6/22/2045 REGS,BDT2DG4,CUSIP,163.94,180.334,-16.394000000000005
2022-10-31,Applebead,Government Bond,TSY INFL IX N/B 0.125% 07/15/2030 ,BLCGQJ3,CUSIP,120.67,132.737,-12.066999999999993
2022-10-31,Applebead,Government Bond,FRANCE (GOVT OF) 0.1% 07/25/2031 0.0% 144A,BN4Q1D4,CUSIP,122.53,134.783,-12.252999999999986
2022-10-31,Applebead,Government Bond,TSY INFL IX N/B 0.875% 02/15/2047,BF0SHC9,CUSIP,154.55,170.005,-15.454999999999984
2022-10-31,Applebead,Government Bond,TSY INFL IX N/B 0.125% 10/15/2026 ,BMHXXY0,CUSIP,110.2,121.22,-11.019999999999996
2022-10-31,Applebead,Government Bond,JAPAN (30 YEAR ISSUE) 0.5 % 09/20/2046 ,BD8CPW5,CUSIP,98.11,107.921,-9.811000000000007
2022-10-31,Applebead,Government Bond,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,B03KSM4,CUSIP,179.28,197.208,-17.927999999999997
2022-10-31,Applebead,Government Bond,AUSTRALIAN GOVERNMENT 4.8% 04/21/2027 REGS,B75M0X2,CUSIP,117.38,129.118,-11.738
2022-10-31,Applebead,Government Bond,SPAIN I/L BOND 1 % 11/30/2030 144A ,BWH62M0,CUSIP,132.36,145.596,-13.23599999999999
2022-10-31,Applebead,Government Bond,AUSTRALIAN GOVERNMENT 3% 09/20/2025 REGS,B4RNSX8,CUSIP,149.51,164.461,-14.951000000000022
2022-10-31,Applebead,Government Bond,BONOS Y OBLIG DEL ESTADO 2.2% 10/31/2025 144A,BYYTKZ5,CUSIP,109.33,120.263,-10.933000000000007
2022-10-31,Applebead,Government Bond,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2026 ,BYYNK79,CUSIP,100.85,110.935,-10.085000000000008
2022-10-31,Belaware,Government Bond,UNITED KINGDOM I/L GILT 0.25% 03/22/2052 REGS,B73ZYW0,CUSIP,271.95,299.145,-27.194999999999993
2022-10-31,Belaware,Government Bond,BONOS Y OBLIG DEL ESTADO 2.9% 10/31/2046 144A,BYZ0LZ4,CUSIP,134.76,148.236,-13.475999999999999
2022-10-31,Belaware,Government Bond,TSY INFL IX N/B 0.125% 07/15/2031 ,BNW0365,CUSIP,115.94,127.534,-11.594000000000008
2022-10-31,Belaware,Government Bond,UNITED KINGDOM GILT 4.25% 12/07/2040 REGS,B646050,CUSIP,152.57,167.827,-15.257000000000005
2022-10-31,Belaware,Government Bond,TSY INFL IX N/B 3.875% 04/15/2029,2407096,CUSIP,234.45,257.895,-23.444999999999993
2022-10-31,Belaware,Government Bond,TSY INFL IX N/B 0.75% 02/15/2045,BVXLS02,CUSIP,151.01,166.111,-15.100999999999999
2022-10-31,Belaware,Government Bond,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,BN65R31,CUSIP,146.73,161.403,-14.673000000000002
2022-10-31,Belaware,Government Bond,SPAIN I/L BOND 1 % 11/30/2030 144A ,BWH62M0,CUSIP,132.36,145.596,-13.23599999999999
2022-10-31,Belaware,Government Bond,BUONI POLIENNALI DEL TES 2.1% 08/01/2027 REGS,BD1MF44,CUSIP,108.36,119.196,-10.835999999999999
2022-10-31,Belaware,Government Bond,SWEDEN I/L BOND 3.5 % 12/01/2028 144A ,5681217,CUSIP,192.72,211.992,-19.27199999999999
2022-10-31,Belaware,Government Bond,TSY INFL IX N/B 3.625% 04/15/2028,2235037,CUSIP,227.45,250.195,-22.745000000000005
2022-10-31,Belaware,Government Bond,FRANCE (GOVT OF) 0.1% 03/01/2025 0.0% REGS,BW4Q278,CUSIP,114.23,125.653,-11.423000000000002
2022-10-31,Belaware,Government Bond,BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,BMNDJV3,CUSIP,120.61,132.671,-12.060999999999993
2022-10-31,Belaware,Government Bond,UNITED KINGDOM I/L GILT 0.125% 11/22/2056 REGS,BYVP4K9,CUSIP,263.61,289.971,-26.36099999999999
2022-10-31,Belaware,Government Bond,BUONI POLIENNALI DEL TES 5.8% 02/01/2033 REGS,7335318,CUSIP,146.99,161.689,-14.698999999999984
2022-10-31,Belaware,Government Bond,TSY INFL IX N/B 0.625% 02/15/2043,B9JHJX0,CUSIP,149.38,164.318,-14.938000000000017
2022-10-31,Belaware,Government Bond,FRANCE (GOVT OF) 3.25 % 05/25/2045 REGS ,B9MBCD0,CUSIP,153.87,169.257,-15.387
2022-10-31,Belaware,Government Bond,FRANCE (GOVT OF) 0.1% 03/01/2028 REGS,BDCKIW3,CUSIP,119.98,131.978,-11.998000000000005
2022-10-31,Belaware,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2024 REGS,B85SFQ5,CUSIP,140.37,154.407,-14.037000000000006
2022-10-31,Belaware,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2026 REGS,BYY5F14,CUSIP,139.46,153.406,-13.945999999999998
2022-10-31,Catalysm,Government Bond,NETHERLANDS GOVERNMENT 0.75 % 07/15/2028 144A ,BFM0LR6,CUSIP,106.85,117.535,-10.685000000000002
2022-10-31,Catalysm,Government Bond,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,CUSIP,124.62,137.082,-12.461999999999989
2022-10-31,Catalysm,Government Bond,TSY INFL IX N/B 0.125% 07/15/2024 ,BZ56VY8,CUSIP,124.36,136.796,-12.435999999999993
2022-10-31,Catalysm,Government Bond,CANADIAN GOVERNMENT RRB 0.5% 12/01/2050,BG7PCR0,CUSIP,131.53,144.683,-13.152999999999992
2022-10-31,Catalysm,Government Bond,UNITED KINGDOM GILT 4.25% 12/07/2040 REGS,B646050,CUSIP,152.57,167.827,-15.257000000000005
2022-10-31,Catalysm,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2026 REGS,BYY5F14,CUSIP,139.46,153.406,-13.945999999999998
2022-10-31,Catalysm,Government Bond,BONOS Y OBLIG DEL ESTADO 2.9% 10/31/2046 144A,BYZ0LZ4,CUSIP,134.76,148.236,-13.475999999999999
2022-10-31,Catalysm,Government Bond,BONOS Y OBLIG DEL ESTADO 4.7% 07/30/2041 144A,B4KCFS6,CUSIP,163.93,180.323,-16.393
2022-10-31,Catalysm,Government Bond,UNITED KINGDOM I/L GILT 0.125% 11/22/2065 REGS,BD9MZZ7,CUSIP,326.34,358.974,-32.634000000000015
2022-10-31,Catalysm,Government Bond,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,BYN4DC9,CUSIP,105.26,115.786,-10.525999999999996
